Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
,,,,Final,,W. CC,M. CC,,W. FH,,FBS FB,,FCS FB,,W. SOC,,M. SOC,,W. VB,,,M. WP
Rank,Institution,Conference,Division,Fall,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
154,Appalachian State,Sun Belt,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Coastal Carolina,Sun Belt,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Louisiana,Sun Belt,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Southern Mississippi,Sun Belt,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Troy,Sun Belt,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Florida A&M,SWAC,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Grambling State,SWAC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,Prairie View A&M,SWAC,FCS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
89,California Baptist,WAC,DI,74.00,0,0,25,49,0,0,0,0,0,0,33,25,0,0,0,0,0,0
96,Tarleton State,WAC,FCS,70.00,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0
117,Abilene Christian,WAC,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
126,Utah Valley,WAC,DI,50.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,33,25,0,0
64,Portland,WCC,DI,100.00,0,0,33,27,0,0,0,0,0,0,0,0,5,73,0,0,0,0
84,San Diego,WCC,FCS,75.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,33,25,0,0
154,Pepperdine,WCC,DI,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
